src	trg	nij	score
10 years (band)	thousand foot krutch	4.466239064155146	0.3220749465977778
10 years (band)	highly suspect	5.184245459499188	0.29737415448523363
10 years (band)	flyleaf (band)	2.90127662211518	0.26150549026200054
shinedown	alter bridge	3.038461012243621	0.3181865214662061
thousand foot krutch	chevelle (band)	4.348370478054653	0.3149499190423396
thousand foot krutch	flyleaf (band)	3.801792373509981	0.2810209106452166
thousand foot krutch	skillet (band)	3.600477904037615	0.26814810825092783
thousand foot krutch	finger eleven	4.506456348324873	0.3244907329829454
breaking benjamin	staind	3.504599134084732	0.31239892769273947
puddle of mudd	drowning pool	3.0840293946031445	0.3015000905138753
puddle of mudd	hinder	3.491087456755689	0.34063087545023085
puddle of mudd	staind	3.4241190078353334	0.34372839383409526
puddle of mudd	nickelback	4.552638559777861	0.32025948318637154
puddle of mudd	papa roach	3.274469786424	0.3314532710082573
puddle of mudd	godsmack	3.159906001579022	0.32190636994785804
the hollies	dan fogelberg	5.294222386553054	0.2703287707216815
the hollies	the everly brothers	3.589934081992995	0.3401308616222165
the hollies	the alan parsons project	6.785512946255081	0.30630967283663546
the moody blues	the zombies	5.8946572976784495	0.3456735577320944
the moody blues	paul mccartney and wings	3.182569341455678	0.25916050859438344
the moody blues	joe cocker	3.571319328040347	0.3302666790537315
the moody blues	chris de burgh	7.7316060844053	0.25886560775821676
steely dan	ian dury	6.892817293673389	0.2804644072746417
simon & garfunkel	bread (band)	4.475438614027112	0.1932347443032545
simon & garfunkel	the mothers of invention	3.6272689540479934	0.2688605657297666
simon & garfunkel	the bangles	3.964939893753949	0.30577912678800523
simon & garfunkel	hall & oates	4.404447557134485	0.34443254377917976
paul mccartney	the beatles	9.199238445506875	0.31413946014201133
the beatles	the who	10.419523104117298	0.347643126238362
herman's hermits	the animals	3.389843375666866	0.30012275672844857
herman's hermits	the lovin' spoonful	4.078837831979522	0.349944184585565
herman's hermits	donovan	3.9395831770734366	0.3401448833903109
herman's hermits	badfinger	3.311625039272736	0.29425091105762413
toto (band)	christopher cross	4.812239706658502	0.3139770776450235
toto (band)	chris de burgh	7.610878080466802	0.2552590428557485
electric light orchestra	traveling wilburys	4.303304510980731	0.34324756986238136
roxy music	morrissey	4.269685558883968	0.3404677184119106
the police	billy idol	7.919261428697085	0.34181861872675845
3 doors down	days of the new	5.15765316691669	0.30363117892210145
nickelback	creed (band)	4.0842902511933366	0.2926021734597114
nickelback	hinder	3.9850709606339447	0.2866036060036341
nickelback	papa roach	4.431856778088891	0.3132296307930831
nickelback	staind	4.5374317383198655	0.3193782799249574
staind	creed (band)	2.8123521336424893	0.2687793455523355
staind	alice in chains	5.450764894841954	0.3435342192362152
staind	papa roach	3.347592546161299	0.34036340008546984
zz top	kaleo (band)	7.790827427698978	0.3157954326433081
hinder	creed (band)	3.818052791892725	0.3468456827849825
lynyrd skynyrd	the allman brothers band	5.370241097424977	0.34379155711744147
alter bridge	godsmack	3.1120764906125435	0.3379585164035187
red hot chili peppers	rage against the machine	4.17551291350348	0.3356120842542145
38 special (band)	survivor (band)	5.34999355021933	0.2638167003375418
survivor (band)	reo speedwagon	5.850311034849844	0.28510209103557416
survivor (band)	starship (band)	9.889194189652883	0.32180578185042097
jefferson starship	starship (band)	4.703463310515777	0.16473001672126553
jefferson starship	ten years after	5.8409304433444085	0.2007356653967567
jefferson starship	canned heat	6.363111423272884	0.3424519391608941
jefferson starship	john mayall & the bluesbreakers	5.182949860308729	0.2880901490907921
the cars	bay city rollers	6.354754709789148	0.28734634780889634
the cars	the outfield	5.728195195322096	0.33098968445325594
styx (band)	tesla (band)	3.50671999337007	0.28634510007216907
styx (band)	kansas (band)	3.9298252240839	0.3220264440949119
system of a down	alice in chains	5.312060936309622	0.3364497380037349
ozzy osbourne	megadeth	3.4003545762640943	0.34230810497790654
marilyn manson (band)	marilyn manson	2.808342148461706	0.34670393434944424
marilyn manson (band)	the smashing pumpkins	3.9026786340907167	0.34874291090852827
guns n' roses	megadeth	5.084676262307257	0.3326380052410518
guns n' roses	the presidents of the united states of america (band)	100.0	0.0
iron maiden	black sabbath	3.592349696010168	0.33460966667210057
iron maiden	judas priest	2.678863835505265	0.33991287712774243
iron maiden	slayer	2.5616627928532525	0.34772631710843027
iron maiden	megadeth	2.393525250338941	0.32911219677534065
bee gees	bread (band)	8.4331268407518	0.3380764745909246
accept (band)	w.a.s.p. (band)	3.13636982074478	0.32216782631670404
metallica	slayer	3.775381028907825	0.3398075673880151
